Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.028e-04,-0.88,-0.8
-1.009e-04,-0.82,-0.88
-9.897e-05,-0.74,-0.7
-9.705e-05,-0.78,-1
-9.513e-05,-0.88,-0.76
-9.321e-05,-0.9,-0.94
-9.129e-05,-0.82,-0.74
-8.937e-05,-0.76,-0.86
-8.745e-05,-0.86,-0.74
-8.553e-05,-0.76,-0.9
-8.361e-05,-0.86,-0.72
-8.169e-05,-0.8,-0.92
-7.977e-05,-0.9,-0.78
-7.785e-05,-0.8,-0.94
-7.593e-05,-0.9,-0.76
-7.401e-05,-0.88,-0.94
-7.209e-05,-0.88,-0.78
-7.017e-05,-0.84,-0.88
-6.825e-05,-0.76,-0.7
-6.633e-05,-0.82,-0.92
-6.441e-05,-0.82,-0.76
-6.249e-05,-0.88,-0.92
-6.057e-05,-0.82,-0.78
-5.865e-05,-0.86,-0.92
-5.673e-05,-0.84,-0.76
-5.481e-05,-0.9,-0.92
-5.289e-05,-0.8,-0.72
-5.097e-05,-0.8,-0.84
-4.905e-05,-0.72,-0.68
-4.713e-05,-0.78,-0.92
-4.521e-05,-0.78,-0.72
-4.329e-05,-0.84,-0.9
-4.137e-05,-0.86,-0.72
-3.945e-05,-0.78,-0.96
-3.753e-05,-0.84,-0.74
-3.561e-05,-0.86,-0.94
-3.369e-05,-0.86,-0.74
-3.177e-05,-0.74,-0.88
-2.985e-05,-0.8,-0.72
-2.793e-05,-0.78,-0.92
-2.601e-05,-0.86,-0.78
-2.409e-05,-0.84,-0.96
-2.217e-05,-0.86,-0.82
-2.025e-05,-0.88,-0.96
-1.833e-05,-0.9,-0.8
-1.641e-05,-0.86,-0.88
-1.449e-05,-0.78,-0.7
-1.257e-05,-0.76,-0.86
-1.065e-05,-0.76,-0.68
-8.725e-06,-0.84,-0.86
-6.805e-06,-0.74,-0.7
-4.885e-06,-0.82,-0.92
-2.965e-06,-0.84,-0.74
-1.045e-06,-0.82,-0.86
8.756e-07,-0.74,-0.68
2.796e-06,-0.76,-1.16
4.716e-06,-0.86,-0.74
6.636e-06,-1.16,-2.92
8.556e-06,-1.88,-1.12
1.048e-05,-2.92,-2.92
1.240e-05,-2.92,-2.64
1.432e-05,-1.86,-2.64
1.624e-05,2.16,2.16
1.816e-05,2.16,2.16
2.008e-05,2.16,2.16
2.200e-05,2.16,2.16
2.392e-05,2.16,2.16
2.584e-05,2.16,2.16
2.776e-05,2.16,2.16
2.968e-05,2.16,-2.92
3.160e-05,-2.92,2.16
3.352e-05,-2.92,-2.92
3.544e-05,-2.92,-2.92
3.736e-05,-2.92,-2.92
3.928e-05,-2.92,-2.52
4.120e-05,-2.62,-2.8
4.312e-05,-2.72,-2.24
4.504e-05,-2.22,-2.26
4.696e-05,-0.82,0.48
4.888e-05,0.52,0.46
5.080e-05,1.22,1.36
5.272e-05,1.24,0.06
5.464e-05,0.68,1.26
5.656e-05,0.1,-0.3
5.848e-05,-0.2,0.14
6.040e-05,-0.2,-0.26
6.232e-05,-0.22,-0.08
6.424e-05,-0.08,-0.14
6.616e-05,-0.02,0.14
6.808e-05,0.12,-0.02
7.000e-05,0.06,0.12
7.192e-05,0.04,-0.1
7.384e-05,-0.04,0.06
7.576e-05,-0.02,-0.18
7.768e-05,-0.08,0.02
7.960e-05,-0.14,-0.28
8.152e-05,-0.14,-0.1
8.344e-05,-0.24,-0.26
8.536e-05,-0.02,0.02
8.728e-05,-0.12,-0.18
8.920e-05,-0.08,0.02
9.112e-05,-0.08,-0.3
9.304e-05,-0.1,4.76837e-09
9.496e-05,-0.26,-0.3
9.688e-05,-0.18,-0.1
9.880e-05,-0.18,-0.24
1.007e-04,-0.12,-0.08
1.026e-04,-0.18,-0.24
1.046e-04,-0.14,-0.06
1.065e-04,-0.12,-0.2
1.084e-04,-0.14,-0.06
1.103e-04,-0.08,-0.22
1.122e-04,-0.16,-0.08
1.142e-04,-0.12,-0.22
1.161e-04,-0.18,-0.06
1.180e-04,-0.1,-0.28
1.199e-04,-0.18,-0.04
1.218e-04,-0.18,-0.3
1.238e-04,-0.22,-0.14
1.257e-04,-0.26,-0.32
1.276e-04,-0.24,-0.06
1.295e-04,-0.12,-0.26
1.314e-04,-0.16,-0.08
1.334e-04,-0.22,-0.24
1.353e-04,-0.12,-0.04
1.372e-04,-0.12,-0.16
1.391e-04,-0.06,4.76837e-09
1.410e-04,-0.1,-0.26
1.430e-04,-0.06,4.76837e-09
1.449e-04,-0.22,-0.26
1.468e-04,-0.18,-0.1
1.487e-04,-0.16,-0.24
1.506e-04,-0.18,-0.08
1.526e-04,-0.14,-0.26
1.545e-04,-0.2,-0.1
1.564e-04,-0.18,-0.28
1.583e-04,-0.22,-0.12
1.602e-04,-0.16,-0.3
1.622e-04,-0.28,-0.14
1.641e-04,-0.22,-0.36
1.660e-04,-0.32,-0.16
1.679e-04,-0.16,-0.34
1.698e-04,-0.26,-0.14
1.718e-04,-0.24,-0.3
1.737e-04,-0.18,-0.1
1.756e-04,-0.16,-0.22
1.775e-04,-0.18,-0.06
1.794e-04,-0.2,-0.28
1.814e-04,-0.14,-0.1
1.833e-04,-0.3,-0.36
1.852e-04,-0.28,-0.22
1.871e-04,-0.3,-0.36
1.890e-04,-0.28,-0.2
1.910e-04,-0.36,-0.36
1.929e-04,-0.26,-0.14
1.948e-04,-0.22,-0.3
1.967e-04,-0.2,-0.12
1.986e-04,-0.28,-0.32
2.006e-04,-0.26,-0.18
2.025e-04,-0.22,-0.3
2.044e-04,-0.22,-0.14
2.063e-04,-0.18,-0.26
2.082e-04,-0.2,-0.12
2.102e-04,-0.16,-0.28
2.121e-04,-0.24,-0.14
2.140e-04,-0.18,-0.34
2.159e-04,-0.24,-0.14
2.178e-04,-0.28,-0.42
2.198e-04,-0.4,-0.24
2.217e-04,-0.32,-0.4
2.236e-04,-0.34,-0.22
2.255e-04,-0.28,-0.4
2.275e-04,-0.32,-0.22
2.294e-04,-0.32,-0.36
2.313e-04,-0.28,-0.22
