Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
2.1892e-03,-0.88,-0.68
2.5733e-03,-0.92,-1.16
2.9573e-03,-0.88,-0.72
3.3413e-03,-0.9,-1.2
3.7253e-03,-0.84,-0.64
4.1094e-03,-0.92,-1.18
4.4934e-03,-0.88,-0.7
4.8774e-03,-0.88,-1.22
5.2614e-03,-0.98,-0.74
5.6455e-03,-1.1,-1.28
6.0295e-03,-0.96,-0.7
6.4135e-03,-1.08,-1.24
6.7975e-03,-1.14,-0.8
7.1816e-03,-0.94,-1.22
7.5656e-03,-1.02,-0.74
7.9496e-03,-1.04,-1.2
8.3336e-03,-1.08,-0.7
8.7177e-03,-0.9,-1.26
9.1017e-03,-1.02,-0.76
9.4857e-03,-0.98,-1.24
9.8697e-03,-1,-0.72
1.0254e-02,-0.94,-1.3
1.0638e-02,-0.96,-0.74
1.1022e-02,-0.88,-1.24
1.1406e-02,-1,-0.7
1.1790e-02,-0.94,-1.2
1.2174e-02,-0.86,-0.72
1.2558e-02,-1.08,-1.26
1.2942e-02,-0.92,-0.72
1.3326e-02,-0.92,-1.22
1.3710e-02,-1.08,-0.74
1.4094e-02,-0.94,-1.2
1.4478e-02,-0.78,-0.72
1.4862e-02,-0.98,-1.24
1.5246e-02,-0.98,-0.74
1.5630e-02,-0.98,-1.24
1.6014e-02,-1.1,-0.76
1.6398e-02,-0.94,-1.26
1.6782e-02,-0.98,-0.76
1.7166e-02,-0.96,-1.24
1.7550e-02,-1.16,-0.68
1.7934e-02,-0.96,-1.24
1.8318e-02,-0.86,-0.68
1.8702e-02,-0.88,-1.26
1.9086e-02,-1,-0.78
1.9470e-02,-1.12,-1.22
1.9854e-02,-0.94,-0.7
2.0238e-02,-1.02,-1.2
2.0622e-02,-1.02,-0.74
2.1006e-02,-1.04,-1.2
2.1390e-02,-1.06,-0.74
2.1775e-02,-0.96,-1.22
2.2159e-02,-0.86,-0.78
2.2543e-02,-0.9,-1.26
2.2927e-02,-1.04,-0.74
2.3311e-02,-1.04,-1.2
2.3695e-02,-1.04,-0.76
2.4079e-02,-1,-1.2
2.4463e-02,-0.98,-0.72
2.4847e-02,-0.92,-1.26
2.5231e-02,-0.92,-0.76
2.5615e-02,-1.06,-1.24
2.5999e-02,-0.84,-0.74
2.6383e-02,-1.04,-1.34
2.6767e-02,-0.98,-0.76
2.7151e-02,-0.96,-1.22
2.7535e-02,-0.92,-0.72
2.7919e-02,-0.96,-1.2
2.8303e-02,-1,-0.76
2.8687e-02,-1.1,-1.26
2.9071e-02,-0.98,-0.74
2.9455e-02,-0.94,-1.24
2.9839e-02,-0.96,-0.76
3.0223e-02,-0.88,-1.24
3.0607e-02,-0.94,-0.72
3.0991e-02,-1.04,-1.2
3.1375e-02,-1.02,-0.7
3.1759e-02,-0.92,-1.22
3.2143e-02,-1,-0.72
3.2527e-02,-1.06,-1.2
3.2911e-02,-1.1,-0.72
3.3295e-02,-1.02,-1.22
3.3679e-02,-1,-0.7
3.4063e-02,-0.82,-1.28
3.4447e-02,-1,-0.74
3.4831e-02,-1.02,-1.22
3.5215e-02,-1.02,-0.76
3.5599e-02,-1.1,-1.22
3.5983e-02,-1.06,-0.76
3.6367e-02,-0.96,-1.3
3.6751e-02,-1,-0.72
3.7135e-02,-1.02,-1.2
3.7520e-02,-1,-0.76
3.7904e-02,-0.92,-1.18
3.8288e-02,-0.96,-0.72
3.8672e-02,-0.98,-1.26
3.9056e-02,-0.96,-0.68
3.9440e-02,-0.96,-1.24
3.9824e-02,-0.9,-0.64
4.0208e-02,-0.98,-1.28
4.0592e-02,-0.92,-0.76
4.0976e-02,-1.02,-1.2
4.1360e-02,-0.96,-0.78
4.1744e-02,-1.1,-1.24
4.2128e-02,-0.92,-0.72
4.2512e-02,-1.08,-1.22
4.2896e-02,-1.04,-0.74
4.3280e-02,-0.98,-1.2
4.3664e-02,-0.84,-0.72
4.4048e-02,-0.82,-1.22
4.4432e-02,-0.92,-0.68
4.4816e-02,-1.02,-1.3
4.5200e-02,-1.08,-0.7
4.5584e-02,-0.94,-1.24
4.5968e-02,-1,-0.74
4.6352e-02,-1.04,-1.28
4.6736e-02,-0.98,-0.72
4.7120e-02,-1.1,-1.2
4.7504e-02,-1.02,-0.76
4.7888e-02,-0.88,-1.24
4.8272e-02,-1,-0.7
4.8656e-02,-1.02,-1.28
4.9040e-02,-1.02,-0.74
4.9424e-02,-0.84,-1.28
4.9808e-02,-1.04,-0.78
5.0192e-02,-0.98,-1.26
5.0576e-02,-1.02,-0.74
5.0960e-02,-1.14,-1.22
5.1344e-02,-1,-0.72
5.1728e-02,-0.92,-1.2
5.2112e-02,-0.96,-0.76
5.2496e-02,-1.02,-1.24
5.2880e-02,-0.86,-0.76
5.3265e-02,-0.98,-1.22
5.3649e-02,-0.92,-0.74
5.4033e-02,-0.96,-1.26
5.4417e-02,-0.96,-0.74
5.4801e-02,-0.96,-1.16
5.5185e-02,-0.98,-0.72
5.5569e-02,-0.98,-1.22
5.5953e-02,-0.86,-0.76
5.6337e-02,-1,-1.2
5.6721e-02,-0.96,-0.74
5.7105e-02,-0.98,-1.22
5.7489e-02,-0.88,-0.74
5.7873e-02,-0.94,-1.22
5.8257e-02,-1.02,-0.76
5.8641e-02,-1.04,-1.26
5.9025e-02,-0.98,-0.7
5.9409e-02,-0.94,-1.2
5.9793e-02,-0.88,-0.74
6.0177e-02,-1.04,-1.24
6.0561e-02,-0.94,-0.74
6.0945e-02,-0.92,-1.2
6.1329e-02,-1.02,-0.7
6.1713e-02,-0.96,-1.26
6.2097e-02,-1,-0.7
6.2481e-02,-1.08,-1.24
6.2865e-02,-0.94,-0.74
6.3249e-02,-1,-1.22
6.3633e-02,-0.98,-0.72
6.4017e-02,-1.02,-1.2
6.4401e-02,-0.96,-0.72
6.4785e-02,-1.08,-1.24
6.5169e-02,-0.96,-0.7
6.5553e-02,-0.98,-1.18
6.5937e-02,-0.94,-0.78
6.6321e-02,-0.92,-1.22
