Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.9983e-01,-0.92,-1.12
-1.9945e-01,-0.96,-0.64
-1.9906e-01,-0.96,-1.14
-1.9868e-01,-0.9,-0.62
-1.9829e-01,-0.82,-1.18
-1.9791e-01,-0.96,-0.66
-1.9752e-01,-0.82,-1.2
-1.9714e-01,-0.88,-0.68
-1.9676e-01,-0.92,-1.22
-1.9637e-01,-0.92,-0.66
-1.9599e-01,-0.92,-1.14
-1.9560e-01,-0.9,-0.66
-1.9522e-01,-0.94,-1.2
-1.9484e-01,-0.96,-0.68
-1.9445e-01,-0.8,-1.18
-1.9407e-01,-1.02,-0.66
-1.9368e-01,-0.82,-1.18
-1.9330e-01,-0.92,-0.68
-1.9292e-01,-0.98,-1.22
-1.9253e-01,-0.86,-0.68
-1.9215e-01,-0.98,-1.16
-1.9176e-01,-0.92,-0.64
-1.9138e-01,-0.96,-1.12
-1.9100e-01,-0.96,-0.64
-1.9061e-01,-0.98,-1.18
-1.9023e-01,-0.92,-0.68
-1.8984e-01,-0.88,-1.18
-1.8946e-01,-0.84,-0.68
-1.8908e-01,-0.86,-1.14
-1.8869e-01,-0.92,-0.66
-1.8831e-01,-0.92,-1.2
-1.8792e-01,-0.98,-0.66
-1.8754e-01,-0.98,-1.2
-1.8716e-01,-0.94,-0.64
-1.8677e-01,-0.9,-1.2
-1.8639e-01,-1.04,-0.7
-1.8600e-01,-0.9,-1.24
-1.8562e-01,-0.84,-0.64
-1.8524e-01,-0.86,-1.2
-1.8485e-01,-0.98,-0.68
-1.8447e-01,-0.8,-1.18
-1.8408e-01,-0.96,-0.6
-1.8370e-01,-0.82,-1.18
-1.8332e-01,-0.82,-0.68
-1.8293e-01,-0.92,-1.16
-1.8255e-01,-0.94,-0.64
-1.8216e-01,-0.96,-1.2
-1.8178e-01,-0.98,-0.68
-1.8140e-01,-0.84,-1.22
-1.8101e-01,-0.8,-0.64
-1.8063e-01,-0.96,-1.18
-1.8024e-01,-0.98,-0.68
-1.7986e-01,-1.04,-1.16
-1.7948e-01,-0.9,-0.68
-1.7909e-01,-0.84,-1.14
-1.7871e-01,-0.94,-0.64
-1.7832e-01,-0.92,-1.18
-1.7794e-01,-0.92,-0.68
-1.7756e-01,-0.9,-1.16
-1.7717e-01,-0.82,-0.66
-1.7679e-01,-0.9,-1.22
-1.7640e-01,-0.94,-0.68
-1.7602e-01,-0.88,-1.24
-1.7564e-01,-0.9,-0.72
-1.7525e-01,-0.82,-1.18
-1.7487e-01,-0.98,-0.74
-1.7448e-01,-0.98,-1.2
-1.7410e-01,-0.94,-0.64
-1.7372e-01,-0.88,-1.22
-1.7333e-01,-0.82,-0.72
-1.7295e-01,-0.86,-1.16
-1.7256e-01,-0.94,-0.64
